Etykiety wierszy;�rednia z liczba_przypadkow;�rednia z zgony;�rednia z liczba_osob_objetych_kwarantanna;covid19_cases;covid19_deaths;covid19_quarantine
Tarnobrzeg;12,3;0,75862069;200,5333333;3518;217;57353
tarnobrzeski;10,5;0,482758621;292,4666667;3003;138;83645
tarnogórski;37,86666667;1,413793103;856,7333333;10830;404;245026
tarnowski;23,33333333;1,366666667;698,5333333;6673;391;199781
tatrzański;5,333333333;0,75862069;180,7;1525;217;51680
tczewski;49,96666667;1,566666667;1042;14290;448;298012
tomaszowski;20,16666667;1,948275862;523,2333333;5768;557;149645
Toruń;110,2333333;2,633333333;1668,066667;31527;753;477067
toruński;58,63333333;0,533333333;1312,266667;16769;153;375308
trzebnicki;20,43333333;0,827586207;668,0666667;5844;237;191067
tucholski;21,23333333;0,75862069;518,1;6073;217;148177
turecki;16,23333333;0,965517241;479,5333333;4643;276;137147
Tychy;39,53333333;1,433333333;756,6;11307;410;216388
wąbrzeski;14,53333333;0,448275862;312,5666667;4157;128;89394
wągrowiecki;17,2;0,933333333;539,7666667;4919;267;154373
wadowicki;21,56666667;1,931034483;672,9666667;6168;552;192468
Wałbrzych;28;1,533333333;601,0333333;8008;439;171896
wałbrzyski;16,06666667;0,6;381,2666667;4595;172;109042
wałecki;28,2;0,862068966;554,5333333;8065;247;158597
Warszawa;490,2333333;11,23333333;10848,93333;140207;3213;3102795
warszawski zachodni;40,43333333;1,066666667;1330;11564;305;380380
węgorzewski;14,23333333;0,666666667;240,0333333;4071;191;68650
węgrowski;11,76666667;0,827586207;420,9666667;3365;237;120396
wejherowski;69,76666667;1,9;1650,666667;19953;543;472091
wielicki;18,66666667;0,482758621;589,3666667;5339;138;168559
wieluński;13,96666667;1,466666667;359,4666667;3994;419;102807
wieruszowski;5,833333333;0,766666667;184,4666667;1668;219;52757
Włocławek;41,8;1,034482759;732,9333333;11955;296;209619
włocławski;29,1;0,931034483;647,4666667;8323;266;185175
włodawski;12,9;0,827586207;201,6666667;3689;237;57677
włoszczowski;5;0,517241379;157,2333333;1430;148;44969
wodzisławski;23,76666667;1,896551724;690,3666667;6797;542;197445
wołomiński;63,13333333;1,3;1955,966667;18056;372;559406
wołowski;11,46666667;0,533333333;468,2666667;3279;153;133924
wolsztyński;12,93333333;0,566666667;460,8;3699;162;131789
Wrocław;171,2333333;4,7;3371,2;48973;1344;964163
wrocławski;40,93333333;1,586206897;1132,733333;11707;454;323962
wrzesiński;39,13333333;1,3;972,0333333;11192;372;278002
wschowski;6,433333333;0,24137931;235,8;1840;69;67439
wysokomazowiecki;9;0,666666667;310,9;2574;191;88917
wyszkowski;10,36666667;0,448275862;352,4333333;2965;128;100796
ząbkowicki;10,83333333;0,633333333;349,8666667;3098;181;100062
Zabrze;42;1,766666667;761,2666667;12012;505;217722
zambrowski;9,233333333;0,206896552;239,0333333;2641;59;68364
zamojski;16,2;1,448275862;417,4;4633;414;119376
Zamość;16,63333333;0,965517241;256,9;4757;276;73473
zawierciański;24,53333333;0,966666667;524,3333333;7017;276;149959
zduńskowolski;15,83333333;1,033333333;386,6;4528;296;110568
zgierski;58,66666667;2,733333333;1240,433333;16779;782;354764
zgorzelecki;22,6;1,137931034;652,9666667;6464;325;186748
Zielona Góra;48,16666667;2,103448276;918,5666667;13776;602;262710
zielonogórski;23,36666667;0,551724138;557,0333333;6683;158;159312
złotoryjski;10,16666667;0,620689655;398,6666667;2908;178;114019
złotowski;33,33333333;1;833,0333333;9533;286;238248
zwoleński;7,266666667;0,482758621;204,5333333;2078;138;58497
;10634,1;411,2332651;242619,3;3041350;117608;69389128
;369;369;369;369;369;369
;28,81869919;1,114453293;657,504878;8242;319;188046
